k_Mpc_inv,P_true,P_obs,sigma_P,f_z1_true,f_z1_obs,sigma_f,jitter_P,jitter_f
0.0031622776601683794,3.906557473696051e-10,3.8789034900864906e-10,5.8598362105440765e-12,0.884800099410832,0.8935804011857614,0.01327200149116248,-0.007078862603651077,0.0099234864245336
0.003674661940736688,3.086390017610667e-10,3.0818946289876566e-10,4.6295850264160006e-12,0.8855655465146463,0.8749255882630755,0.013283483197719693,-0.001456519946397066,-0.012014873764507661
0.00427006791616766,2.393235043188519e-10,2.4159743368352683e-10,3.589852564782778e-12,0.8855288045596668,0.8784642233715163,0.013282932068395,0.009501487833996293,-0.007977810718041331
0.004961947603002903,1.8202389021473546e-10,1.794123432072667e-10,2.730358353221032e-12,0.8845652800354907,0.8963360060794798,0.013268479200532361,-0.014347276087704227,0.0133067918328389
0.005765932649858944,1.3548118814339959e-10,1.3742700868728208e-10,2.0322178221509936e-12,0.8803595089997314,0.8854857748021007,0.01320539263499597,0.014362293175514075,0.005822923192132903
0.006700187503509591,9.932440964839552e-11,9.837670750225114e-11,1.4898661447259328e-12,0.8803621459090929,0.8678172056510836,0.013205432188636393,-0.009541482798631437,-0.014249749737995672
0.00778581979851677,7.186791486428312e-11,7.197629357451923e-11,1.0780187229642467e-12,0.8864615032337179,0.8833452949012485,0.013296922548505768,0.0015080263625400125,-0.0035153340794854045
0.009047357242349292,5.096955158253198e-11,5.1328029975306124e-11,7.645432737379796e-13,0.8898738142062833,0.9030608712997514,0.013348107213094249,0.007033187101787305,0.014819019149619715
0.010513301770262386,3.551778633575528e-11,3.5048727607980736e-11,5.327667950363292e-13,0.8922979380108065,0.8932933481959756,0.013384469070162096,-0.013206305239308972,0.001115558091939672
0.012216773489967919,2.434293735979998e-11,2.4706446074800626e-11,3.651440603969997e-13,0.8935641600612235,0.880160991263543,0.013403462400918352,0.014932820539601164,-0.014999671424559118
0.014196258964747485,1.643917767602958e-11,1.6247966858944226e-11,2.465876651404437e-13,0.8943513071151095,0.8955260129894279,0.013415269606726642,-0.011631410089579112,0.0013134725302830527
0.016496480740980205,1.0942452690342321e-11,1.0990749051863447e-11,1.641367903551348e-13,0.8936579569612412,0.906872449555731,0.013404869354418618,0.004413668753053189,0.014786969098808026
0.019169407765334556,7.189789566805827e-12,7.220634973192147e-12,1.0784684350208741e-13,0.891845989157553,0.8885389721752507,0.013377689837363295,0.004290168175258879,-0.0037080583671471974
0.022275429519995574,4.652297710948123e-12,4.598566033292314e-12,6.978446566422185e-14,0.8850055785881353,0.8724504556880053,0.01327508367882203,-0.011549492529113876,-0.014186490123779113
0.025884720403183015,2.9892168140173484e-12,3.03381613180948e-12,4.483825221026022e-14,0.881508412063582,0.8868022255780752,0.013222626180953729,0.014920067886341365,0.006005403286056559
0.03007882518043099,1.922672263961286e-12,1.8971641492127873e-12,2.884008395941929e-14,0.8897028942750986,0.901459411939649,0.01334554341412648,-0.013267011350101013,0.01321398158890919
0.03495250132675474,1.2232558647518486e-12,1.2319983668268445e-12,1.834883797127773e-14,0.8949566308880124,0.8876669753478703,0.013424349463320185,0.007146912045886315,-0.00814526122110401
0.0406158598837698,7.703880026868715e-13,7.714508100354951e-13,1.1555820040303073e-14,0.8973585015966713,0.8866844699896155,0.013460377523950068,0.0013795741170900214,-0.011894946766608277
0.047196853200182305,4.811319697724672e-13,4.765893365341973e-13,7.216979546587008e-15,0.8982901746859798,0.9073373186237818,0.013474352620289697,-0.009441553510605827,0.010071516078826724
0.05484416576121018,2.9825660519927135e-13,3.025289918836755e-13,4.47384907798907e-15,0.8982136625888806,0.9074329063420894,0.013473204938833208,0.01432453333782728,0.01026397630897391
0.0637305734194898,1.8354322384034202e-13,1.8090306477361854e-13,2.75314835760513e-15,0.8967109611879616,0.8861892656243905,0.013450664417819422,-0.014384399551683028,-0.011733653338676651
0.07405684692262439,1.1220391210977526e-13,1.1328118131085855e-13,1.6830586816466288e-15,0.8940640612909048,0.8865862515176556,0.013410960919363571,0.009600995017262151,-0.008363841135110914
0.08605628792983366,6.79960598941274e-14,6.788829249818793e-14,1.019940898411911e-15,0.8873949180073376,0.8990092179068317,0.013310923770110063,-0.001584906479982335,0.013088084756642705
0.1,4.101390050479203e-14,4.072824587123211e-14,6.152085075718804e-16,0.8809242315218194,0.8864250490678346,0.01321386347282729,-0.00696482485313832,0.00624437079737544
