z_synthetic,tau_dimensionless,p0,tau_scale,integrated_flip_activity,T_q0,power_T2_q0,T_q1,power_T2_q1,T_q2,power_T2_q2,T_q3,power_T2_q3,T_q4,power_T2_q4
0.0,0.0,0.05,20.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.013836477987421384,0.27483255704592785,0.05,20.0,0.01364806782132052,1.0,1.0,0.9939525519510357,0.9879416755299764,0.9894409781630069,0.9789934492681679,0.9864446447943453,0.9730730372434422,0.9849498825135018,0.970126271063361
0.027672955974842768,0.5459396041134197,0.05,20.0,0.026931061691003327,1.0,1.0,0.988101987100408,0.9763455369117748,0.9792714704100812,0.9589726127591226,0.9734283457153685,0.947562744242159,0.9705198707000218,0.941908819423587
0.041509433962264156,0.8134207946185559,0.05,20.0,0.039865735592080946,1.0,1.0,0.9824379379570682,0.9651843019373363,0.9694690938614106,0.9398703239524645,0.960918447637936,0.9233642630109007,0.9566714472640163,0.9152202580102275
0.055345911949685536,1.0773718362574856,0.05,20.0,0.05246776664714926,1.0,1.0,0.9769507795310723,0.9544328256263699,0.9600131824000808,0.9216253103819309,0.9488849063048658,0.900382565413194,0.9433692358834114,0.8899455152112514
0.06918238993710692,1.3378846966006046,0.05,20.0,0.0647518435358837,1.0,1.0,0.9716315626734613,0.9440678935832724,0.9508846235620062,0.9041815673266582,0.9373000315812117,0.8785313492021404,0.930580687229619,0.8659804154447499
0.08301886792452831,1.5950477954679783,0.05,20.0,0.07673174612170129,1.0,1.0,0.9664719545654279,0.9340680389615185,0.9420657137837247,0.8874878090868388,0.926138260467165,0.8577320775011463,0.9182758018942161,0.8432304483444656
0.09685534591194969,1.8489461850929547,0.05,20.0,0.08842041730933112,1.0,1.0,0.9614641854696168,0.9244133799407536,0.9335400296325909,0.8714969869264186,0.915375955918897,0.8379131406744345,0.9064268852622371,0.8216096983262008
0.11069182389937107,2.099661718992562,0.05,20.0,0.09983002801964963,1.0,1.0,0.9566010009809036,0.9150854750776668,0.9252923129897899,0.8561658644779953,0.9049912281151299,0.819009122965331,0.8950083301189089,0.8010399109822378
0.12452830188679245,2.347273210383645,0.05,20.0,0.11097203605281196,1.0,1.0,0.9518756191190719,0.9060671942733165,0.9173083684467274,0.8414546428223969,0.894963775298859,0.8009601590971865,0.8839964233994502,0.78144967658302
